id,name,gender,country,birth,death,complexity
375,Фредерик Шилдс,1,,,,3
376,Константин Коровин,1,,,,2
377,Дмитрий Левицкий,1,,,,3
378,Сакаи Хоицу,1,Japan,1761,1828,3
379,Геррит Беркхейде,1,Holland,1638,1698,3
380,Джованни Батиста Пьяццетта,1,Italy,1683,1754,3
381,Юци Ван,1,China,1958,,3
382,Филиппо Палицци,1,,,,3
383,Жан-Луи Форен,1,,,,3
385,Бакёйзен ван ден Бринк,1,,,,3
386,Северо Родригес Этчарт,1,,,,3
387,Александр-Жак Шантрон,1,,,,3
388,Томас Гейнсборо,1,,,,2
389,Анри Руссо,1,,,,1
390,Александр Кабанель,1,,,,2
391,Питер Брейгель Младший,1,,,,2
392,Мигель Сельва,1,,,,3
394,Клод Жозеф Верне,1,,,,3
395,Анна Анкер,2,Denmark,1859,1935,3
396,Вильгельм Котарбинский,1,,,,3
397,Пере Боррель дель Казо,1,,,,3
398,Этторе Тито,1,,,,3
399,Рене-Антуан Уасс,1,,,,3
400,Исаак Бродский,1,,,,3
401,Татьяна Яблонская,2,,,,3
402,Франсуа-Андре Венсан,1,,,,3
403,Адольфо Гиард,1,,,,3
404,Артур Хакер,1,,,,3
405,Франсуа Мартин Кавель,1,,,,3
406,Виллем Кальф,1,,,,3
407,Альберт Бирштадт,1,,,,3
409,Гюстав Доре,1,,,,2
410,Арнольд Бёклин,1,,,,2
411,Альфред Гийу,1,,,,3
412,Анри Матисс,1,,,,1
413,Жорж Ру,1,France,1853,1929,3
414,Кальцедонио Рейна,1,Italy,1843,1911,3
415,Диего Веласкес,1,,,,1
417,Эмиль Мюнье,1,France,1840,1895,3
418,Анри Жерве,1,,,,3
419,Маркус Ларсон,1,,,,3
420,Александр Самохвалов,1,,,,3
421,Ян ван Эйк,1,,,,1
422,Уильям МакГрегор Пакстон,1,,,,3
423,Карл Вернер,1,,,,3
424,Томас Блекшир,1,,,,3
449,Иоганн Карл Шульц,1,,,,3
425,Эль Греко,1,,,,2
426,Якопо Лигоцци,1,Italy,1547,1627,3
428,Гюстав Курбе,1,,,,2
429,Джорджо де Кирико,1,,,,2
430,Сезар Паттен,1,,,,3
431,Эжен Медар,1,France,1847,1897,3
432,Клеменс Бьюэр,1,Germany,1820,1884,3
434,Александр Бенуа,1,,,,3
435,Владимир Боровиковский,1,,,,3
436,Арман Гийомен,1,,,,3
437,Антуан-Жан Гро,1,,,,3
438,Доменико Гирландайо,1,,,,3
439,Норман Линдсей,1,,,,3
440,Фабио Фабби,1,,,,3
441,Уильям Блейк,1,,,,2
442,Хосе Бенльюре-и-Хиль,1,,,,3
443,Эгон Шиле,1,,,,2
444,Лавиния Фонтана,2,Italy,1552,1614,3
446,Джон Уильям Годвард,1,,,,3
447,Эдвин Генри Ландсир,1,,,,3
448,Вирджини Демон-Бретон,2,France,1859,1935,3
450,Эрнст Кёрнер,1,,,,3
451,Себастьян Петер,1,,,,3
452,Хосе Мария Хара,1,Mexico,1866,1939,3
454,Лоренцо Валлес,1,,,,3
455,Анри Эдмон Кросс,1,,,,3
456,Ян Брейгель Старший,1,,,,1
457,Джордж Клаузен,1,,,,3
458,Илья Остроухов,1,,,,3
459,Том Робертс,1,,,,3
460,Ханс Хейердал,1,,,,3
461,Бернардо Беллотто,1,,,,3
462,Анри Кросс,1,,,,3
463,Генрих Фюсли,1,,,,3
464,Адриан Коорт,1,,,,3
465,Беатрис Оффор,2,England,1864,1920,3
467,Эвелин де Морган,2,England,1855,1919,3
468,Джордж Фредерик Уоттс,1,,,,3
469,Джордж Стаббс,1,,,,3
471,Ян Госсарт,1,,,,3
472,Генриэтта Рэй,2,England,1859,1928,3
473,Клод Моне,1,,,,1
474,Хендрик Тербрюгген,1,,,,3
475,Чарльз Фредерик Ульрих,1,,,,3
476,Джейми Уайет,1,,,,3
477,Николай Кошелев,1,,,,3
478,Михаил Нестеров,1,,,,2
479,Теодор Ралли,1,,,,3
480,Рембрандт Ван Рейн,1,,,,1
481,Уильям Харнетт,1,,,,3
482,Луи Буланже,1,,,,3
483,Федор Васильев,1,,,,3
485,Леонид Тишков,1,,,,3
486,Василий Суриков,1,,,,1
487,Камиль Писсарро,1,,,,1
488,Генри Оссава Таннер,1,,,,3
489,Александр-Мари Колен,1,France,1798,1875,3
490,Кнат Эквалл,1,,,,3
491,Якопо Понтормо,1,,,,3
492,Марк Ротко,1,,,,2
494,Луиджи Премацци,1,,,,3
495,Адриен Анри Тану,1,,,,3
496,Зинаида Серебрякова,2,,,,2
498,Сеймур Джозеф Гай,1,,,,3
499,Петер Николай Арбо,1,,,,3
500,Эрнст Юсефсон,1,,,,3
501,Хосе де Рибера,1,,,,3
502,Андреа Соларио,1,,,,3
503,Ари Ренан,1,,,,3
504,Ове Зерге,1,Sweden,1894,1983,3
506,Генри Петер,1,,,,3
507,Элиху Веддер,1,USA,1836,1923,3
508,Леон Жозеф Флорентен Бонна,1,,,,3
510,Валантен де Булонь,1,France,1591,1632,3
511,Йозеф Магнус Штэк,1,,,,3
512,Леонид Пастернак,1,,,,3
513,Генриетта Роннер-Книп,2,Belgium,1821,1909,3
514,Фрида Кало,2,Mexico,,,1
515,Франс Франкен Младший,1,,,,3
516,Сёрен Онсагер,1,Norway,1878,1946,3
517,Юло Соостер,1,Estonia,1924,1970,3
518,Пал Синьеи-Мерше,1,,,,3
519,Антуан Ватто,1,,,,2
521,Пьер Нарсис Герен,1,,,,3
522,Аркадий Пластов,1,,,,3
523,Жан-Леон Жером,1,,,,3
524,Влахо Буковац,1,,,,3
525,Лессер Ури,1,,,,3
527,Лукас Кранах Старший,1,,,,3
528,Гвидо Рени,1,,,,3
529,Аньоло Бронзино,1,Italy,1503,1563,3
530,Магнус Энкель,1,,,,3
532,Баренд Корнелис Куккук,1,,,,3
533,Джексон Поллок,1,,,,2
534,Чарльз Ребел Стэнтон,1,,,,3
535,Георг Корницелиус,1,,,,3
536,Геррит Доу,1,,,,3
537,Андерс Андерсен-Лундбю,1,,,,3
538,Жак-Луи Давид,1,,,,2
539,Исаак Левитан,1,,,,1
540,Фёдор Васильев,1,,,,1
541,Константин Сомов,1,,,,3
542,Гюстав Моро,1,,,,1
544,Дино Вальс,1,Spain,1959,,3
545,Тома Кутюр,1,,,,3
546,Александр Шарль Гиймо,1,,,,3
549,Жорж Шикото,1,,,,3
550,Джузеппе Ментесси,1,,,,3
551,Леонард Брамер,1,,,,3
552,Джентиле Беллини,1,Italy,1429,1507,3
553,Чарльз Спенслей,1,,,,3
554,Иоганн Генрих Фюссли,1,,,,3
555,Иван Шишкин,1,,,,1
556,Абрам Архипов,1,,,,3
557,Габриель Метсю,1,,,,3
558,Иван Горохов,1,,,,3
560,Альберт Бартоломе,1,,,,3
561,Арнольд Шёнберг,1,,,,3
562,Бенджамин Уэст,1,,,,3
563,Шимон Холлоши,1,Hungary,1857,1918,3
564,Джозеф Райт,1,,,,3
565,Каспар Нетшер,1,,,,3
566,Алексей Боголюбов,1,,,,3
567,Гелий Коржев,1,,,,3
568,Ханс Андреас Даль,1,,,,3
569,Иван Владимиров,1,,,,3
570,Виктор Гилберт,1,,,,3
572,Александр Рослин,1,,,,3
573,Константин Трутовский,1,,,,3
574,Леон-Максим Февр,1,,,,3
575,Фердинанд Георг Вальдмюллер,1,,,,3
576,Густав Куртуа,1,,,,3
577,Феликс-Анри Джакомотти,1,,,,3
579,Фрэнк Брэмли,1,,,,3
580,Макс Бекман,1,,,,2
581,Жан Антуан Теодор Гюден,1,,,,3
582,Амалдус Нильсен,1,,,,3
583,Николай Пимоненко,1,,,,3
584,Николай Овчинников,1,,,,3
585,Фелисьен Ропс,1,Belgium,1833,1898,3
586,Корнелиус Гисбрехтс,1,,,,3
587,Михаил Клодт,1,,,,3
588,Аннибале Карраччи,1,Italy,1560,1609,3
589,Квентин Массейс,1,,,,3
590,Луи Жозеф Рафаэль Коллен,1,,,,3
591,Сакакибара Сихо,2,Japan,1887,1971,3
592,Александра Герасимова,2,,,,3
593,Жюль Бастьен-Лепаж,1,,,,3
594,Антонис ван Дейк,1,,,,1
595,Кассиус Кулидж,1,,,,2
597,Николя Григореску,1,,,,3
598,Томас Моран,1,,,,3
599,Илья Репин,1,,,,1
600,Геннадий Добров,1,,,,3
601,Джорджоне,1,Italy,,1510,3
602,Кеньон Кокс,1,USA,1856,1919,3
603,Джулио Аристиде Сарторио,1,,,,3
604,Альберт Генри Коллингс,1,,,,3
605,Михаил Авилов,1,,,,3
607,Джон Чарльз Доллман,1,,,,3
608,Николай Сергеев,1,,,,3
609,Герберт Густав Шмальц,1,,,,3
610,Иоганн Антон Кастелл,1,,,,3
611,Джованни Баттиста Тьеполо,1,,,,3
612,Алексей Кившенко,1,,,,3
613,Жан-Жозеф Бенжамен-Констан,1,,,,3
614,Анри Адриен Тану,1,,,,3
615,Альберт Бартсон,1,,,,3
616,Владимир Муравьев,1,,,,3
617,Франсиско Гойя,1,,,,1
619,Франческо Пармиджанино,1,,,,3
620,Густав Леонард де Йонге,1,,,,3
621,Жозеф-Дезире Кур,1,,,,3
622,Мартин Джонсон Хед,1,,,,3
623,Джоан Митчелл,1,,,,3
624,Фрэнк Кадоган Коупер,1,,,,3
625,Максимильен Люс,1,,,,3
626,Август Мальмстрём,1,,,,3
627,Арман Пойнт,1,France,1860,1932,3
628,Жан-Этьен Лиотар,1,,,,3
